,Restaurant,url
80,47. Curate At Four Seasons Hotel Kuala Lumpur,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d14827104-Reviews-Curate_At_Four_Seasons_Hotel_Kuala_Lumpur-Kuala_Lumpur_Wilayah_Persekutuan.html
81,"48. Graze Restaurant, Kuala lumpur",https://www.tripadvisor.com.my//Restaurant_Review-g298570-d4604638-Reviews-Graze_Restaurant_Kuala_lumpur-Kuala_Lumpur_Wilayah_Persekutuan.html
82,49. Prego,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d1075630-Reviews-Prego-Kuala_Lumpur_Wilayah_Persekutuan.html
83,50. Naughty Nuri's,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d7603674-Reviews-Naughty_Nuri_s-Kuala_Lumpur_Wilayah_Persekutuan.html
84,51. The Lounge at Four Seasons,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d14957251-Reviews-The_Lounge_at_Four_Seasons-Kuala_Lumpur_Wilayah_Persekutuan.html
85,52. Mandarin Grill,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d2092437-Reviews-Mandarin_Grill-Kuala_Lumpur_Wilayah_Persekutuan.html
86,53. Tg's Nasi Kandar,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d3470466-Reviews-Tg_s_Nasi_Kandar-Kuala_Lumpur_Wilayah_Persekutuan.html
87,54. Plane In The City,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d14018278-Reviews-Plane_In_The_City-Kuala_Lumpur_Wilayah_Persekutuan.html
88,55. Sushi Hibiki,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d14784908-Reviews-Sushi_Hibiki-Kuala_Lumpur_Wilayah_Persekutuan.html
89,56. The Living Room,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d1097420-Reviews-The_Living_Room-Kuala_Lumpur_Wilayah_Persekutuan.html
90,57. Qureshi Malaysia,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d7247738-Reviews-Qureshi_Malaysia-Kuala_Lumpur_Wilayah_Persekutuan.html
91,58. THIRTY8,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d3501957-Reviews-THIRTY8-Kuala_Lumpur_Wilayah_Persekutuan.html
92,59. Lai Po Heen,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d1065676-Reviews-Lai_Po_Heen-Kuala_Lumpur_Wilayah_Persekutuan.html
93,60. Aliyaa Island Restaurant & Bar,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d1371262-Reviews-Aliyaa_Island_Restaurant_Bar-Kuala_Lumpur_Wilayah_Persekutuan.html
94,Knowhere Bangsar,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d15223699-Reviews-Knowhere_Bangsar-Kuala_Lumpur_Wilayah_Persekutuan.html
95,91. Tamarind Springs By Samadhi,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d785561-Reviews-Tamarind_Springs_By_Samadhi-Kuala_Lumpur_Wilayah_Persekutuan.html
96,92. Marini's on 57,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d3244412-Reviews-Marini_s_on_57-Kuala_Lumpur_Wilayah_Persekutuan.html
97,93. FS Nasi Kandar Corner,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d12032654-Reviews-FS_Nasi_Kandar_Corner-Kuala_Lumpur_Wilayah_Persekutuan.html
98,94. RSMY,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d1152913-Reviews-RSMY-Kuala_Lumpur_Wilayah_Persekutuan.html
99,95. Bijan,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d1020629-Reviews-Bijan-Kuala_Lumpur_Wilayah_Persekutuan.html
100,Le Petit Chef - Kuala Lumpur,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d21184087-Reviews-Le_Petit_Chef_Kuala_Lumpur-Kuala_Lumpur_Wilayah_Persekutuan.html
101,96. Leaf & Co Cafe,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d10876892-Reviews-Leaf_Co_Cafe-Kuala_Lumpur_Wilayah_Persekutuan.html
102,97. La Boca Latino Bar,https://www.tripadvisor.com.my//Restaurant_Review-g298570-d4009875-Reviews-La_Boca_Latino_Bar-Kuala_Lumpur_Wilayah_Persekutuan.html
